ego_id,alter_id,zij
10100,10100,12133
10100,20100,5
10100,30001,66
10100,40001,668
10100,50001,0
10100,70000,0
10100,80001,0
10100,90001,0
10100,110101,0
10100,130100,0
10100,130200,0
10100,130300,0
10100,130500,0
10100,130600,0
10100,130700,0
10100,140101,38250
10100,140102,809
10100,140105,11417
10100,140200,87
10100,140300,7105
10100,140400,1618
10100,140500,490
10100,140600,10038
10100,140700,0
10100,140800,0
10100,140900,0
10100,141000,0
10100,141100,0
10100,141200,761
10100,141301,1
10100,141302,130
10100,141401,0
10100,141402,0
10100,141403,0
10100,141501,21
10100,141502,3
10100,141600,0
10100,141700,0
10100,141801,0
10100,141802,0
10100,141803,0
10100,141900,0
10100,142002,0
10100,142004,0
10100,142005,0
10100,142101,0
10100,142102,0
10100,142103,0
10100,142104,0
10100,142200,0
10100,142300,0
10100,142400,0
10100,142500,0
10100,142600,0
10100,142700,0
10100,142800,0
10100,142900,0
10100,143000,0
10100,143100,0
10100,143201,0
10100,143202,172
10100,150101,0
10100,150102,0
10100,150103,0
10100,150200,0
10100,160100,304
10100,160200,0
10100,160300,81
10100,160400,0
10100,170100,0
10100,170600,0
10100,170700,0
10100,170900,0
10100,171001,7
10100,171100,45
10100,180101,0
10100,180102,0
10100,180201,3
10100,180202,0
10100,180203,2
10100,180300,14
10100,180400,0
10100,190100,0
10100,190200,0
10100,190301,0
10100,190302,0
10100,190303,0
10100,190304,0
10100,190305,0
10100,190306,0
20100,10100,22177
20100,20100,3044
20100,30001,0
20100,40001,3128
20100,50001,0
20100,70000,0
20100,80001,1
20100,90001,0
20100,110101,1878
20100,130100,0
20100,130200,0
20100,130300,0
20100,130500,0
20100,130600,0
20100,130700,0
20100,140101,0
20100,140102,0
20100,140105,0
20100,140200,0
20100,140300,0
20100,140400,0
20100,140500,0
20100,140600,0
20100,140700,0
20100,140800,181
20100,140900,1556
20100,141000,116
20100,141100,227
20100,141200,0
20100,141301,1498
20100,141302,177
20100,141401,2568
20100,141402,1620
20100,141403,556
20100,141501,984
20100,141502,2482
20100,141600,509
20100,141700,2415
20100,141801,60
20100,141802,46
20100,141803,7
20100,141900,2099
20100,142002,343
20100,142004,1403
20100,142005,361
20100,142101,296
20100,142102,267
20100,142103,601
20100,142104,79
20100,142200,0
20100,142300,94
20100,142400,304
20100,142500,6328
20100,142600,442
20100,142700,0
20100,142800,1612
20100,142900,0
20100,143000,0
20100,143100,0
20100,143201,712
20100,143202,1174
20100,150101,1475
20100,150102,6
20100,150103,34
20100,150200,1466
20100,160100,1285
20100,160200,0
20100,160300,1340
20100,160400,13
20100,170100,14
20100,170600,0
20100,170700,17
20100,170900,0
20100,171001,6
20100,171100,9
20100,180101,0
20100,180102,0
20100,180201,2
20100,180202,1
20100,180203,3
20100,180300,50
20100,180400,0
20100,190100,0
20100,190200,0
20100,190301,0
20100,190302,0
20100,190303,0
20100,190304,0
20100,190305,0
20100,190306,0
30001,10100,0
30001,20100,0
30001,30001,262
30001,40001,38
30001,50001,0
30001,70000,0
30001,80001,0
30001,90001,0
30001,110101,0
30001,130100,0
30001,130200,0
30001,130300,0
30001,130500,0
30001,130600,0
30001,130700,0
30001,140101,0
30001,140102,0
30001,140105,0
30001,140200,0
30001,140300,0
30001,140400,0
30001,140500,0
30001,140600,0
30001,140700,346
30001,140800,0
30001,140900,0
30001,141000,0
30001,141100,1
30001,141200,2524
30001,141301,0
30001,141302,0
30001,141401,0
30001,141402,0
30001,141403,0
30001,141501,0
30001,141502,0
30001,141600,0
30001,141700,0
30001,141801,0
30001,141802,0
30001,141803,0
30001,141900,0
30001,142002,0
30001,142004,1
30001,142005,8
30001,142101,0
30001,142102,0
30001,142103,0
30001,142104,0
30001,142200,5
30001,142300,11
30001,142400,0
30001,142500,0
30001,142600,0
30001,142700,88
30001,142800,0
30001,142900,0
30001,143000,0
30001,143100,0
30001,143201,0
30001,143202,4
30001,150101,0
30001,150102,0
30001,150103,0
30001,150200,0
30001,160100,0
30001,160200,0
30001,160300,0
30001,160400,0
30001,170100,0
30001,170600,0
30001,170700,0
30001,170900,0
30001,171001,0
30001,171100,0
30001,180101,0
30001,180102,0
30001,180201,0
30001,180202,0
30001,180203,0
30001,180300,0
30001,180400,194
30001,190100,0
30001,190200,0
